"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","United Kingdom","","Flow Type(s):"," Disbursement","","Amount:","Current Prices (USD millions)","",

"","Time Period","2011",
"Recipient(s)",
"Afghanistan","","423.42"
"Albania","","0.68"
"Algeria","","1.44"
"Angola","","0.69"
"Anguilla","","0.39"
"Antigua & Barbuda","",".."
"Argentina","","1.19"
"Armenia","","0.36"
"Aruba","",".."
"Azerbaijan","","0.96"
"Bahamas","",".."
"Bahrain","",".."
"Bangladesh","","368.62"
"Barbados","",".."
"Belarus","","0.12"
"Belize","","0.52"
"Benin","","0.07"
"Bermuda","",".."
"Bhutan","",".."
"Bolivia","","0.14"
"Bosnia-Herzegovina","","4.79"
"Botswana","","1.56"
"Brazil","","49.37"
"Brunei","",".."
"Burkina Faso","","0.82"
"Burundi","","17.72"
"Cambodia","","6.1"
"Cameroon","","0.82"
"Cape Verde","","0.03"
"Cayman Islands","",".."
"Central African Rep.","",".."
"Chad","","0.38"
"Chile","","0.55"
"China","","64.86"
"Chinese Taipei","",".."
"Colombia","","4.36"
"Comoros","","0.12"
"Congo, Dem. Rep.","","383.05"
"Congo, Rep.","",".."
"Cook Islands","",".."
"Costa Rica","","0.31"
"Cote d'Ivoire","","10.74"
"Croatia","",".."
"Cuba","","0.27"
"Cyprus","",".."
"Djibouti","","0.02"
"Dominica","","0.03"
"Dominican Republic","","0.15"
"Ecuador","","0.22"
"Egypt","","17.42"
"El Salvador","","0.01"
"Equatorial Guinea","",".."
"Eritrea","","8.37"
"Ethiopia","","552.25"
"Falkland Islands","",".."
"Fiji","","0.21"
"French Polynesia","",".."
"Gabon","","0.2"
"Gambia","","8.82"
"Georgia","","3.19"
"Ghana","","130.46"
"Grenada","",".."
"Guatemala","","0.09"
"Guinea","","0.28"
"Guinea-Bissau","","0.07"
"Guyana","","0.59"
"Haiti","","15.57"
"Honduras","","0.02"
"India","","453.85"
"Indonesia","","-6.82"
"Iran","","0.43"
"Iraq","","13.38"
"Israel","",".."
"Jamaica","","10.33"
"Jordan","","2.65"
"Kazakstan","","2.73"
"Kenya","","142.02"
"Kiribati","","0.03"
"Korea, Dem. Rep.","","0.61"
"Kosovo","","12.19"
"Kuwait","",".."
"Kyrgyz Republic","","11.9"
"Laos","","1.61"
"Lebanon","","2.64"
"Lesotho","","1.85"
"Liberia","","31.51"
"Libya","","16.87"
"Macedonia (FYROM)","","0.99"
"Madagascar","","0.81"
"Malawi","","104.06"
"Malaysia","","7.16"
"Maldives","","0.27"
"Mali","","0.01"
"Malta","",".."
"Marshall Islands","","0.01"
"Mauritania","","1.45"
"Mauritius","","13.54"
"Mayotte","",".."
"Mexico","","5.76"
"Micronesia","",".."
"Moldova","","2.43"
"Mongolia","","0.18"
"Montenegro","","0.33"
"Montserrat","","44.48"
"Morocco","","4.38"
"Mozambique","","186.4"
"Myanmar (Burma)","","62.2"
"Namibia","","-0.72"
"Nepal","","104.07"
"Nicaragua","","0.03"
"Niger","","0.59"
"Nigeria","","298.86"
"Oman","",".."
"Pakistan","","331.59"
"Panama","","0.2"
"Papua New Guinea","","-0.32"
"Paraguay","","0.05"
"Peru","","0.6"
"Philippines","","2.07"
"Qatar","",".."
"Rwanda","","135.57"
"Samoa","","0.41"
"Sao Tome & Principe","",".."
"Saudi Arabia","",".."
"Senegal","","1.99"
"Serbia","","2.43"
"Seychelles","","0.07"
"Sierra Leone","","73.56"
"Singapore","",".."
"Slovenia","",".."
"Solomon Islands","","0.19"
"Somalia","","152.14"
"South Africa","","46.61"
"South Sudan","","83"
"Sri Lanka","","4.22"
"St. Helena","","79.25"
"St. Kitts-Nevis","",".."
"St. Lucia","","0.37"
"St.Vincent & Grenadines","","0.04"
"Sudan","","157.34"
"Suriname","",".."
"Swaziland","","0.03"
"Syria","","2.03"
"Tajikistan","","16.5"
"Tanzania","","158.92"
"Thailand","","-7.62"
"Timor-Leste","","0.07"
"Togo","","1.92"
"Tonga","","0.03"
"Trinidad & Tobago","",".."
"Tunisia","","6"
"Turkey","","5.51"
"Turkmenistan","","0.15"
"Turks & Caicos Islands","",".."
"Tuvalu","","0.05"
"Uganda","","142.98"
"Ukraine","","1.33"
"United Arab Emirates","",".."
"Uruguay","","0.1"
"Uzbekistan","","0.84"
"Vanuatu","","0.11"
"Venezuela","","0.78"
"Vietnam","","35"
"Yemen","","62.61"
"Zambia","","92.59"
"Zimbabwe","","77.52"
